placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,segunda-feira,terça-feira,quarta-feira,quinta-feira,sexta-feira,sábado,domingo,query,timestamp,attributes
https://www.google.com/maps/place/Tecnologia+%C3%9Anica/data=!4m7!3m6!1s0x94ce50cba6a2d51d:0xabf41ebd37daf8ad!8m2!3d-23.6092415!4d-46.6932842!16s%2Fg%2F11h1b5dzw!19sChIJHdWipstQzpQRrfjaN70e9Ks,Tecnologia Única,"4,8",33,Empresa de Software,"R. Luigi Galvani, 42 - 12º andar - Itaim Bibi, São Paulo - SP, 04575-020, Brasil","98R4+8M Itaim Bibi, São Paulo - SP, Brasil",https://tecnologiaunica.com.br/,+55 11 5239-6031,Aberto · Fecha 18:00,Empresa que acolhe a comunidade LGBTQ+,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpXKn99RtAWvA6hrED_D8N-kVbDwPR3NkQhiGq7vnVrg9uTWlrstzZp5pMiizt0W0wf18sN6b1rFLh46wdb1Z1BzFQfA7OOYjUO6KThgKArFWR0TyAWuSomPTTperVUavlOxLJXA=w408-h272-k-no,true,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,Fechado,Fechado,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:26:36.579Z,
https://www.google.com/maps/place/Numen+IT/data=!4m7!3m6!1s0x94ce5758af69411d:0x4764e039b0158e2e!8m2!3d-23.5902917!4d-46.6827277!16s%2Fg%2F11c6cd5_67!19sChIJHUFpr1hXzpQRLo4VsDngZEc,Numen IT,"4,9",57,Empresa de Software,"Av. Pres. Juscelino Kubitschek, 1400 - 2º andar - Itaim Bibi, São Paulo - SP, 04543-000, Brasil","C858+VW Itaim Bibi, São Paulo - SP, Brasil",http://numenit.com/,+55 11 4302-5625,Aberto 24 horas,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSs-_HcqBphc18e7x1Qwon6695JOAFfR0aj11PSh7IL5XTTQF3YuZmrjgbQRjXzaAKSfKzH5Ke5enuZ0G5QX2VXojbamqaq1I6BM88EqeetSkMAKLNO-Z-7XznnPaGeEdtlZEjvQ=w408-h408-k-no,true,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:26:42.536Z,
https://www.google.com/maps/place/Touch+Tecnologia+Inform%C3%A1tica/data=!4m7!3m6!1s0x94ce57387356f981:0x7c77401a90567051!8m2!3d-23.5952271!4d-46.6883058!16s%2Fg%2F1w456qv3!19sChIJgflWczhXzpQRUXBWkBpAd3w,Touch Tecnologia Informática,"4,8",15,Empresa de Software,"R. Gomes de Carvalho, 1666 - Itaim Bibi, São Paulo - SP, 04547-006, Brasil","C836+WM Itaim Bibi, São Paulo - SP, Brasil",,+55 11 3846-5555,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L0bU6r3xMq78haxL_fzkpg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=21.121695&pitch=0&thumbfov=100,true,,,,,,,,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:26:47.545Z,
https://www.google.com/maps/place/Bravo+Tecnologia/data=!4m7!3m6!1s0x94ce5a0f2453abaf:0x3e7c76971585d65b!8m2!3d-23.5912891!4d-46.6821625!16s%2Fg%2F1pv61bs63!19sChIJr6tTJA9azpQRW9aFFZd2fD4,Bravo Tecnologia,"4,6",13,Serviço de segurança de computadores,"Av. Pres. Juscelino Kubitschek, 1327 - 4º Andar - Conj. 41 - Itaim Bibi, São Paulo - SP, 04543-011, Brasil","C859+F4 Itaim Bibi, São Paulo - SP, Brasil",https://www.bravotecnologia.com.br/,+55 4003-6567,Aberto · Fecha 18:00,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsKXMRwvYBNKforWqlLJ1xUOPbVzYzVpHlc1WA4rIHWkk9NyAGh0n1sF64KkylyfWpHzTQRYECiX5gZEvfXGQRIbd3C2a1NamZHkj3jlKxYIboBYWxh15fDUBtWUXZa0sodO08=w421-h240-k-no,true,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,Fechado,Fechado,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:26:52.247Z,
https://www.google.com/maps/place/Beyond+Solu%C3%A7%C3%B5es/data=!4m7!3m6!1s0x94ce5742d3aa1c67:0xd9a0954f231d889f!8m2!3d-23.585079!4d-46.680346!16s%2Fg%2F11gcz30gf0!19sChIJZxyq00JXzpQRn4gdI0-VoNk,Beyond Soluções,"4,8",37,Consultoria de informática,"R. Viradouro, 42 - Itaim Bibi, São Paulo - SP, 04538-110, Brasil","C879+XV Itaim Bibi, São Paulo - SP, Brasil",http://www.imaginebeyond.com.br/,+55 11 3807-8711,Aberto · Fecha 20:00,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuUJ28rC1-ssfktZytVnNSDbftVAC_s0MF9Fne_ueFrGSwpmUX51-IE2Y-dozge1PebGs6k4VkDJzg3ntsXoKHer74H3hBUV9I0SrgtFbkzMFu2K2IzBHd381opDvHODf7lyQ=w630-h240-k-no,true,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,Fechado,Fechado,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:26:57.377Z,
https://www.google.com/maps/place/Rosys+Tecnologia/data=!4m7!3m6!1s0x94ce699b94071bdd:0xbec1a5da9d0e0f7!8m2!3d-23.5890553!4d-46.6735353!16s%2Fg%2F11jp1kk2w9!19sChIJ3RsHlJtpzpQR9-DQqV0a7As,Rosys Tecnologia,"5,0",1,Serviço de soluções de tecnologia para eventos,"Rua Doutor Guilherme Bannitz, 126 – 8º andar – Cj 81 - Itaim Bibi, São Paulo - SP, 04532-060, Brasil","C86G+9H Itaim Bibi, São Paulo - SP, Brasil",https://www.rosys.com.br/,+55 11 98416-8796,Aberto · Fecha 19:00,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdeQpXbfOzOaQdJvpN1nm4rR9up7pq8iEKYa7hctBW8uHTsKWhlPKg0-L-o7MRQuTCFQFOLWSO-gBx_zAG6jr51gamFZ5wOWUHxOREclp8TUw4-k0tSlVNqUCLwt9ZuXiAoUJL=w408-h408-k-no,true,08:00–19:00,08:00–19:00,08:00–19:00,08:00–19:00,08:00–19:00,Fechado,Fechado,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:27:02.238Z,
https://www.google.com/maps/place/F5+Web+Design+e+Tecnologia+Atualizada/data=!4m7!3m6!1s0x94ce5735aaa2976d:0x3aa420e014330fa5!8m2!3d-23.5843175!4d-46.6749274!16s%2Fg%2F11h0kt0mh!19sChIJbZeiqjVXzpQRpQ8zFOAgpDo,F5 Web Design e Tecnologia Atualizada,"4,7",26,Consultoria de informática,"Brascan Century Offices - R. Joaquim Floriano, 466 - cj. 1405 - Itaim Bibi, São Paulo - SP, 04534-002, Brasil","C88G+72 Itaim Bibi, São Paulo - SP, Brasil",https://www.ef5.com.br/,,Aberto · Fecha 18:00,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGr5HgwWwUZVa4wuGSzmlyB3ZurcZDTZVeIhvascelhNh-YvR13LTcG13eoVJYJBKzettk-TBeWDfbnykB_5Bcp69fzNElDURQ1BJ-c-oth6qaw-nDUlc05QhVg9QYa-Dc7-MDkwA=w467-h240-k-no,true,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,Fechado,Fechado,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:27:06.956Z,
https://www.google.com/maps/place/4yousee+Digital+Signage/data=!4m7!3m6!1s0xa6970f0cf65113:0xf78006855feee628!8m2!3d-23.5872598!4d-46.6796913!16s%2Fg%2F1ptzkc_jr!19sChIJE1H2DA-XpgARKObuX4UGgPc,4yousee Digital Signage,"4,5",32,Empresa de Software,"R. Leopoldo Couto de Magalhães Jr, 700 9ºA 1˚ subsolo – Portão, B1 - Itaim Bibi, São Paulo - SP, 04542-000, Brasil","C87C+34 Itaim Bibi, São Paulo - SP, Brasil",http://www.4yousee.com.br/,+55 11 4200-0374,Aberto · Fecha 18:00,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqATRxciVxPG5TeGMiMia-aVOblSB1Gwh5Tb0Ubzka2Q3ww3iEo0pYheN25K6csQI23iMT7IhybHBj2bQSCQte72j7lJzZKIjAE8ymcyMcuvmwIMmIJ2WK8VptpQvwgUjJI7vZ=w408-h544-k-no,true,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,Fechado,Fechado,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:27:11.635Z,
https://www.google.com/maps/place/Savoir+Tecnologia/data=!4m7!3m6!1s0x94ce5768737f46a3:0x6fbaa5768c0efd9!8m2!3d-23.5818352!4d-46.6806221!16s%2Fg%2F11g9vzx97_!19sChIJo0Z_c2hXzpQR2e_AaFeq-wY,Savoir Tecnologia,"5,0",1,Empresa de Software,"Tv. Dr. Leopoldo, 56 - Itaim Bibi, São Paulo - SP, 04536-060, Brasil","C899+7Q Itaim Bibi, São Paulo - SP, Brasil",http://savoir.com.br/,+55 11 99188-8250,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NWdslta4E0VJtHSxxaOXFg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=271.0351&pitch=0&thumbfov=100,false,,,,,,,,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:27:16.212Z,
https://www.google.com/maps/place/Solution4You+Tecnologia+Ltda./data=!4m7!3m6!1s0x94ce575dded40763:0xab8ee4be7c8087e9!8m2!3d-23.5829239!4d-46.6755359!16s%2Fg%2F11frsm89pl!19sChIJYwfU3l1XzpQR6YeAfL7kjqs,Solution4You Tecnologia Ltda.,"5,0",1,Empresa de Software,"Rua Tabapuã, 500 - conj 104 - Itaim Bibi, São Paulo - SP, 04533-001, Brasil","C88F+RQ Itaim Bibi, São Paulo - SP, Brasil",http://solution4you.com.br/,+55 11 2505-3391,Aberto · Fecha 18:00,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s81dvjTRl9dRIOfjlGQM1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=346.93658&pitch=0&thumbfov=100,true,08:00–18:00,08:00–18:00,08:00–18:00,08:00–18:00,08:00–18:00,Fechado,Fechado,empresa de tecnologia Itaim Bibi São Paulo,2026-06-15T19:27:21.011Z,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Export limit reached - Get more with our premium plans,,,,,,,,,,,,,,,,,,,,,,
Upgrade to export all your data with the link below:,,,,,,,,,,,,,,,,,,,,,,
https://phbuster.io/upgrade,,,,,,,,,,,,,,,,,,,,,,